arrival_epoch_ns,src_ip,dst_ip,ip_proto,ip_len,src_port,dst_port,udp_len,rtp_ssrc,rtp_timestamp,rtp_seq,rtp_pt,rtp_marker
1781262505733902287,10.184.36.172,52.113.85.129,17,100,53281,3478,80,0x411BAAD8,4018846608,3852,111,1
1781262505748902494,10.184.36.172,52.113.85.129,17,102,53281,3478,82,0x411BAAD8,4018847568,3853,111,0
1781262505770021932,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4018848528,3854,111,0
1781262505794898956,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018849488,3855,111,0
1781262505815906445,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018850448,3856,111,0
1781262505830896261,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4018851408,3857,111,0
1781262505852898745,10.184.36.172,52.113.85.129,17,120,53281,3478,100,0x411BAAD8,4018852368,3858,111,0
1781262505877905353,10.184.36.172,52.113.85.129,17,127,53281,3478,107,0x411BAAD8,4018853328,3859,111,0
1781262505897825064,10.184.36.172,52.113.85.129,17,108,53281,3478,88,0x411BAAD8,4018854288,3860,111,0
1781262505916900549,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4018855248,3861,111,0
1781262505927900269,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018856208,3862,111,0
1781262506330962026,10.184.36.172,52.113.85.129,17,102,53281,3478,82,0x411BAAD8,4018875408,3863,111,0
1781262506356903977,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018876368,3864,111,0
1781262506755906628,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018895568,3865,111,0
1781262506779959775,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018896528,3866,111,0
1781262507190764150,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018915728,3867,111,0
1781262507192910950,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018916688,3868,111,0
1781262507630463342,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4018935888,3869,111,0
1781262507630495189,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018936848,3870,111,0
1781262508014833407,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4018956048,3871,111,0
1781262508035955406,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018957008,3872,111,0
1781262508434928958,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018976208,3873,111,0
1781262508457848846,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018977168,3874,111,0
1781262508854933766,10.184.36.172,52.113.85.129,17,104,53281,3478,84,0x411BAAD8,4018996368,3875,111,0
1781262508871716608,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4018997328,3876,111,0
1781262509296412864,10.184.36.172,52.113.85.129,17,103,53281,3478,83,0x411BAAD8,4019016528,3877,111,0
1781262509296439611,10.184.36.172,52.113.85.129,17,69,53281,3478,49,0x411BAAD8,4019017488,3878,111,0
1781262509622981914,10.184.36.172,52.113.150.56,17,100,47558,3478,80,0x233F233D,165328943,31616,102,1
1781262509639936160,10.184.36.172,52.113.150.56,17,102,47558,3478,82,0x233F233D,165329903,31617,102,0
1781262509653098992,52.113.150.56,10.184.36.172,17,111,3478,47558,91,0x00005E8A,384493583,6553,102,1
1781262509667801115,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165330863,31618,102,0
1781262509673051540,52.113.150.56,10.184.36.172,17,69,3478,47558,49,0x00005E8A,384494543,6554,96,0
1781262509685220209,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165331823,31619,102,0
1781262509700244736,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165332783,31620,102,0
1781262509716940839,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165333743,31621,102,0
1781262509733977064,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165334703,31622,102,0
1781262509759937874,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165335663,31623,102,0
1781262509783023031,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165336623,31624,102,0
1781262509798009394,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165337583,31625,102,0
1781262509815020173,10.184.36.172,52.113.150.56,17,69,47558,3478,49,0x233F233D,165338543,31626,102,0
1781262510072108292,52.113.150.56,10.184.36.172,17,118,3478,47558,98,0x00005E8A,384513743,6555,102,1
1781262510093083500,52.113.150.56,10.184.36.172,17,69,3478,47558,49,0x00005E8A,384514703,6556,96,0
1781262510221912736,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165357743,31627,102,0
1781262510236005591,10.184.36.172,52.113.150.56,17,69,47558,3478,49,0x233F233D,165358703,31628,102,0
1781262510440948178,10.184.36.172,52.113.150.56,17,139,47558,3478,119,0x233F233D,165368303,31629,102,1
1781262510457950562,10.184.36.172,52.113.150.56,17,158,47558,3478,138,0x233F233D,165369263,31630,102,0
1781262510479943703,10.184.36.172,52.113.150.56,17,136,47558,3478,116,0x233F233D,165370223,31631,102,0
1781262510493800507,52.113.150.56,10.184.36.172,17,119,3478,47558,99,0x00005E8A,384533903,6557,102,1
1781262510497025109,10.184.36.172,52.113.150.56,17,134,47558,3478,114,0x233F233D,165371183,31632,102,0
1781262510513625655,52.113.150.56,10.184.36.172,17,69,3478,47558,49,0x00005E8A,384534863,6558,96,0
1781262510514943235,10.184.36.172,52.113.150.56,17,145,47558,3478,125,0x233F233D,165372143,31633,102,0
1781262510580069741,52.113.150.56,10.184.36.172,17,94,3478,47558,74,0x00005E8B,406651782,21681,107,0
1781262510580081996,52.113.150.56,10.184.36.172,17,1199,3478,47558,1179,0x00005E8B,406651782,21682,107,0
1781262510580103555,52.113.150.56,10.184.36.172,17,1199,3478,47558,1179,0x00005E8B,406651782,21683,107,0
1781262510580109046,52.113.150.56,10.184.36.172,17,1200,3478,47558,1180,0x00005E8B,406651782,21684,107,0
1781262510580123107,52.113.150.56,10.184.36.172,17,1200,3478,47558,1180,0x00005E8B,406651782,21685,107,1
1781262510602446249,10.184.36.172,52.113.150.56,17,134,47558,3478,114,0x233F233D,165373103,31634,102,0
1781262510602477713,10.184.36.172,52.113.150.56,17,117,47558,3478,97,0x233F233D,165374063,31635,102,0
1781262510602487732,10.184.36.172,52.113.150.56,17,109,47558,3478,89,0x233F233D,165375023,31636,102,0
1781262510602648146,10.184.36.172,52.113.150.56,17,108,47558,3478,88,0x233F233D,165375983,31637,102,0
1781262510615952727,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165376943,31638,102,0
1781262510638966901,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165377903,31639,102,0
1781262510643878361,52.113.150.56,10.184.36.172,17,747,3478,47558,727,0x00005E8B,406657675,21686,107,1
1781262510660949725,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165378863,31640,102,0
1781262510680947778,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165379823,31641,102,0
1781262510695943257,10.184.36.172,52.113.150.56,17,103,47558,3478,83,0x233F233D,165380783,31642,102,0
1781262510712311444,52.113.150.56,10.184.36.172,17,298,3478,47558,278,0x00005E8B,406663947,21687,107,1
1781262510717945915,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165381743,31643,102,0
1781262510736950930,10.184.36.172,52.113.150.56,17,104,47558,3478,84,0x233F233D,165382703,31644,102,0
1781262510747026314,52.113.150.56,10.184.36.172,17,737,3478,47558,717,0x00005E8B,406667056,21688,107,1
1781262510756953426,10.184.36.172,52.113.150.56,17,69,47558,3478,49,0x233F233D,165383663,31645,102,0
1781262510773913551,52.113.150.56,10.184.36.172,17,289,3478,47558,269,0x00005E8B,406669373,21689,107,1
